"x" "y" "ytrue"
"1" 1 -0.213159704456436 -0.5
"2" 2 -0.515458391826566 -0.5
"3" 3 -0.352172553877032 -0.5
"4" 4 -0.851720945363386 -0.5
"5" 5 -0.513965045476223 -0.5
"6" 6 -0.409618894549009 -0.5
"7" 7 -0.891673291150198 -0.5
"8" 8 -0.5003048518074 -0.5
"9" 9 -0.553067200169869 -0.5
"10" 10 -0.187355476223846 -0.5
"11" 11 -0.43144638727545 -0.5
"12" 12 -0.1855149200126 -0.5
"13" 13 -0.649346948695323 -0.5
"14" 14 -0.438670034950612 -0.5
"15" 15 -0.786097167576415 -0.5
"16" 16 -0.261114691405615 -0.5
"17" 17 -0.596413611242878 -0.5
"18" 18 -0.23642752948294 -0.5
"19" 19 -0.725966313701566 -0.5
"20" 20 -0.685270281531762 -0.5
"21" 21 0.52814188161173 0.5
"22" 22 0.329303490710459 0.49975
"23" 23 0.879679436599401 0.499
"24" 24 0.168112811773533 0.49775
"25" 25 0.647924953881115 0.496
"26" 26 0.506208174281035 0.49375
"27" 27 0.413193761703731 0.491
"28" 28 0.615083125685559 0.48775
"29" 29 0.310442911317823 0.484
"30" 30 0.499496722603173 0.47975
"31" 31 0.338365125377581 0.475
"32" 32 0.5179678880681 0.46975
"33" 33 0.58188638109457 0.464
"34" 34 0.271625012022772 0.45775
"35" 35 0.510492370741801 0.451
"36" 36 1.07120542016152 0.44375
"37" 37 0.23049306183402 0.436
"38" 38 0.816110568336198 0.42775
"39" 39 0.363408767627319 0.419
"40" 40 0.365432243208776 0.40975
"41" 41 0.188090970901868 0.4
"42" 42 0.394616625859242 0.38975
"43" 43 0.233082719520107 0.379
"44" 44 0.162583888187582 0.36775
"45" 45 0.288039917776587 0.356
"46" 46 0.565797194310441 0.34375
"47" 47 0.340858058128473 0.331
"48" 48 0.514480894191253 0.31775
"49" 49 0.487744586468686 0.304
"50" 50 0.531034859061934 0.28975
"51" 51 0.546626372014102 0.275
"52" 52 -0.0570562824976371 0.25975
"53" 53 0.28352900668114 0.244
"54" 54 0.223383035605116 0.22775
"55" 55 -0.107700793924713 0.211
"56" 56 -0.0113342283752703 0.19375
"57" 57 0.490419752169057 0.176
"58" 58 0.454398449129803 0.15775
"59" 59 0.0944644347899161 0.139
"60" 60 0.0515838177972345 0.11975
"61" 61 0.253726838089668 0.1
"62" 62 0.117128919550145 0.07975
"63" 63 -0.207121803577206 0.059
"64" 64 0.0504895323943004 0.03775
"65" 65 0.204588209465312 0.016
"66" 66 0.0416635160401215 -0.00624999999999998
"67" 67 -0.125653086325593 -0.029
"68" 68 0.0527931519229683 -0.05225
"69" 69 0.0698250221604802 -0.076
"70" 70 -0.264122214800213 -0.10025
"71" 71 0.116933695945179 -0.125
"72" 72 -0.288704297601447 -0.15025
"73" 73 -0.293469837113614 -0.176
"74" 74 -0.532551371388508 -0.20225
"75" 75 0.135312395842775 -0.229
"76" 76 0.345924095424765 -0.25625
"77" 77 -0.435295345991548 -0.284
"78" 78 -0.342542820572077 -0.31225
"79" 79 -0.217650865631921 -0.341
"80" 80 -0.357838567614754 -0.37025
"81" 81 -0.918602257824687 -0.4
"82" 82 -0.113181570515796 -0.43025
"83" 83 -0.482389672006688 -0.461
"84" 84 -0.477332269111334 -0.49225
"85" 85 -0.519689042378552 -0.524
"86" 86 -0.548653460096901 -0.55625
"87" 87 -0.395737841325 -0.589
"88" 88 -0.48413697339108 -0.62225
"89" 89 -0.723911216960704 -0.656
"90" 90 -0.757796100539722 -0.69025
"91" 91 -0.789308059509732 -0.725
"92" 92 -0.704284485486538 -0.76025
"93" 93 -1.20078816451599 -0.796
"94" 94 -1.02772033400327 -0.83225
"95" 95 -1.06247787167891 -0.869
"96" 96 -0.819701770610775 -0.90625
"97" 97 -1.01062491202144 -0.944
"98" 98 -1.25029494429637 -0.98225
"99" 99 -1.19291680453612 -1.021
"100" 100 -1.23776799072808 -1.06025
